Date,Open,High,Low,Close,Adj Close,Volume
2009-09-09,99.910004,100.239998,98.760002,98.980003,98.980003,0
2009-09-10,98.949997,99.849998,98.779999,99.589996,99.589996,0
2009-09-11,100.889999,101.150002,100.169998,100.599998,100.599998,0
2009-09-14,100.110001,100.330002,99.699997,99.870003,99.870003,123800
2009-09-15,99.660004,101.019997,99.510002,100.769997,100.769997,172100
2009-09-16,101.970001,101.970001,101.440002,101.849998,101.849998,163200
2009-09-17,101.580002,102.000000,101.070000,101.400002,101.400002,134700
2009-09-18,101.739998,101.760002,100.660004,100.660004,100.660004,158700
2009-09-21,99.930000,100.500000,99.699997,100.320000,100.320000,80200
2009-09-22,101.800003,101.800003,101.360001,101.550003,101.550003,90700
2009-09-23,101.089996,101.839996,100.610001,100.750000,100.750000,125000
2009-09-24,101.339996,101.360001,99.050003,99.410004,99.410004,187600
2009-09-25,99.000000,99.349998,98.669998,98.949997,98.949997,127900
2009-09-28,99.410004,99.709999,98.949997,98.970001,98.970001,83500
2009-09-29,99.080002,99.589996,98.900002,99.290001,99.290001,61600
2009-09-30,100.250000,100.940002,99.470001,100.769997,100.769997,197900
2009-10-01,100.779999,100.779999,99.790001,99.839996,99.839996,135000
2009-10-02,99.709999,100.709999,99.680000,100.220001,100.220001,163600
2009-10-05,100.419998,101.750000,100.300003,101.690002,101.690002,126700
2009-10-06,103.300003,104.360001,103.169998,104.190002,104.190002,153900
2009-10-07,104.269997,104.459999,103.800003,104.339996,104.339996,107100
2009-10-08,104.620003,106.099998,104.269997,105.660004,105.660004,142300
2009-10-09,105.040001,105.209999,104.459999,104.809998,104.809998,110500
2009-10-12,105.370003,105.900002,105.339996,105.570000,105.570000,60400
2009-10-13,105.750000,106.480003,105.480003,106.230003,106.230003,101900
2009-10-14,106.309998,106.559998,105.919998,106.129997,106.129997,54600
2009-10-15,105.269997,105.930000,104.570000,104.839996,104.839996,70100
2009-10-16,104.709999,105.629997,104.550003,105.209999,105.209999,58800
2009-10-19,105.190002,106.260002,104.849998,106.250000,106.250000,66700
2009-10-20,106.360001,106.360001,105.199997,105.440002,105.440002,69700
2009-10-21,105.379997,106.410004,105.339996,105.730003,105.730003,47000
2009-10-22,105.459999,106.070000,105.120003,105.930000,105.930000,53800
2009-10-23,106.540001,106.559998,105.000000,105.470001,105.470001,80800
2009-10-26,105.430000,105.889999,103.760002,103.879997,103.879997,73700
2009-10-27,103.910004,103.949997,103.099998,103.849998,103.849998,22700
2009-10-28,103.500000,103.930000,102.669998,102.720001,102.720001,54000
2009-10-29,103.690002,104.730003,103.510002,104.680000,104.680000,71400
2009-10-30,104.339996,104.660004,103.510002,104.550003,104.550003,42300
2009-11-02,105.529999,106.279999,105.370003,105.959999,105.959999,43400
2009-11-03,105.790001,108.760002,105.779999,108.550003,108.550003,139500
2009-11-04,109.230003,109.699997,108.650002,109.160004,109.160004,107600
2009-11-05,108.919998,109.290001,108.709999,109.080002,109.080002,78700
2009-11-06,109.500000,110.040001,109.169998,109.699997,109.699997,92800
2009-11-09,110.849998,110.900002,110.059998,110.300003,110.300003,77600
2009-11-10,110.160004,110.879997,109.830002,110.519997,110.519997,78500
2009-11-11,111.639999,111.839996,111.190002,111.750000,111.750000,69600
2009-11-12,111.300003,111.650002,110.239998,110.379997,110.379997,155100
2009-11-13,110.449997,111.919998,110.279999,111.900002,111.900002,66300
2009-11-16,112.879997,114.330002,112.839996,113.849998,113.849998,170400
2009-11-17,113.190002,114.169998,113.059998,114.160004,114.160004,84400
2009-11-18,114.910004,115.260002,114.070000,114.489998,114.489998,78600
2009-11-19,114.070000,114.510002,112.989998,114.489998,114.489998,61500
2009-11-20,113.959999,115.099998,113.750000,115.059998,115.059998,78200
2009-11-23,116.930000,117.300003,116.290001,116.500000,116.500000,97700
2009-11-24,116.980003,117.029999,116.169998,116.980003,116.980003,82400
2009-11-25,117.959999,119.129997,117.830002,118.940002,118.940002,112100
2009-11-27,115.389999,118.029999,115.269997,117.349998,117.349998,183000
2009-11-30,116.779999,118.169998,116.570000,117.919998,117.919998,95200
2009-12-01,119.620003,120.120003,119.139999,119.709999,119.709999,132600
2009-12-02,121.199997,121.589996,120.690002,121.480003,121.480003,154700
2009-12-03,120.989998,121.860001,120.459999,121.099998,121.099998,306300
2009-12-04,119.389999,119.510002,114.510002,115.940002,115.940002,382500
2009-12-07,113.830002,116.459999,113.589996,115.430000,115.430000,284400
2009-12-08,114.860001,115.250000,112.360001,112.980003,112.980003,209500
2009-12-09,113.699997,114.650002,111.519997,112.980003,112.980003,315300
2009-12-10,112.919998,113.209999,112.169998,113.040001,113.040001,243200
2009-12-11,112.760002,112.949997,110.879997,111.440002,111.440002,227700
2009-12-14,112.099998,112.610001,111.650002,112.330002,112.330002,95900
2009-12-15,112.120003,112.680000,111.529999,112.360001,112.360001,107900
